Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Shareef Abdur-Rahim,PF,31,SAC,6,0,51,2.1,9.9,.214,0.0,0.0,,2.1,9.9,.214,2.8,2.8,1.000,4.2,2.8,7.1,2.8,0.7,0.0,0.7,6.4,7.1
2,Arron Afflalo,SG,22,DET,75,9,970,3.7,8.9,.411,0.4,1.8,.208,3.3,7.2,.461,2.5,3.2,.782,1.3,3.7,5.1,1.9,1.2,0.3,1.3,3.1,10.2
3,Maurice Ager,SG,23,TOT,26,3,165,4.6,14.2,.323,0.7,4.1,.158,3.9,10.0,.391,1.3,2.6,.500,0.9,2.0,2.8,1.7,0.0,0.2,1.3,3.7,11.1
3,Maurice Ager,SG,23,DAL,12,3,77,2.3,12.6,.185,0.0,3.7,.000,2.3,8.9,.263,2.3,2.8,.833,0.5,1.4,1.9,1.9,0.0,0.5,1.4,5.1,7.0
3,Maurice Ager,SG,23,NJN,14,0,88,6.5,15.5,.421,1.2,4.5,.273,5.3,11.0,.481,0.4,2.5,.167,1.2,2.5,3.7,1.6,0.0,0.0,1.2,2.5,14.7
4,Blake Ahearn,PG,23,MIA,12,0,177,3.1,11.6,.263,2.0,6.9,.294,1.0,4.7,.217,6.1,6.3,.968,0.2,3.7,3.9,3.9,1.2,0.0,3.3,4.1,14.2
5,LaMarcus Aldridge,PF,22,POR,76,76,2649,7.6,15.8,.484,0.0,0.1,.143,7.6,15.7,.486,3.1,4.0,.762,3.0,4.9,7.9,1.7,0.7,1.3,1.7,3.3,18.3
6,Malik Allen,PF,29,TOT,73,16,1096,5.2,10.7,.480,0.0,0.1,.500,5.1,10.7,.480,0.8,0.8,.920,2.2,4.3,6.4,1.4,0.6,1.0,1.5,4.9,11.1
6,Malik Allen,PF,29,NJN,48,12,763,5.9,12.3,.475,0.0,0.1,.500,5.8,12.2,.475,0.6,0.6,.923,2.0,4.1,6.0,1.4,0.7,1.0,1.5,4.2,12.3
6,Malik Allen,PF,29,DAL,25,4,333,3.6,7.1,.500,0.0,0.0,,3.6,7.1,.500,1.2,1.3,.917,2.6,4.8,7.4,1.6,0.4,1.1,1.4,6.5,8.3
7,Ray Allen*,SG,32,BOS,73,73,2624,6.0,13.5,.445,2.5,6.2,.398,3.6,7.3,.485,2.9,3.3,.907,1.0,2.6,3.7,3.1,0.9,0.2,1.7,2.0,17.5
8,Tony Allen,SG,26,BOS,75,11,1373,4.4,10.2,.434,0.5,1.5,.316,4.0,8.7,.455,3.6,4.7,.762,0.9,3.5,4.4,3.0,1.6,0.6,2.9,4.4,13.0
9,Lance Allred,C,26,CLE,3,0,10,3.6,14.4,.250,0.0,0.0,,3.6,14.4,.250,3.6,7.2,.500,0.0,3.6,3.6,0.0,0.0,0.0,0.0,3.6,10.8
10,Morris Almond,SG,22,UTA,9,0,39,3.7,13.8,.267,0.9,3.7,.250,2.8,10.2,.273,3.7,5.5,.667,0.0,1.8,1.8,2.8,0.9,0.0,1.8,4.6,12.0
11,Rafer Alston,PG,31,HOU,74,74,2526,5.2,13.2,.394,2.0,5.8,.351,3.1,7.4,.427,1.4,2.0,.715,0.4,3.3,3.7,5.6,1.4,0.3,2.3,2.0,13.8
