Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
1,Precious Achiuwa,C,23,TOR,55,1140,,,,17%,83%,-1.5,-3.8,8,21,53,19,58,7,128,15,31
2,Steven Adams,C,29,MEM,42,1133,,,,,100%,9.5,8.3,40,10,40,23,51,7,223,15,14
3,Bam Adebayo,C,25,MIA,75,2598,,,,,100%,1.7,5.4,60,46,83,50,194,10,587,37,49
4,Ochai Agbaji,SG,22,UTA,59,1209,35%,38%,24%,4%,,-0.5,0.9,15,8,65,9,32,3,159,4,20
5,Santi Aldama,PF,22,MEM,77,1682,,,2%,69%,29%,2.2,-2.5,19,20,93,11,48,11,231,12,20
6,Nickeil Alexander-Walker,SG,24,TOT,59,884,12%,59%,27%,2%,,-2.5,-2.0,38,9,59,3,25,23,262,6,13
6,Nickeil Alexander-Walker,SG,24,UTA,36,528,11%,52%,35%,2%,,-2.3,-1.4,31,8,38,3,16,16,183,3,5
6,Nickeil Alexander-Walker,SG,24,MIN,23,356,13%,71%,16%,1%,,-2.9,-3.0,7,1,21,0,9,7,79,3,8
7,Grayson Allen,SG,27,MIL,72,1972,5%,75%,21%,,,5.7,4.1,49,11,68,1,44,23,409,7,22
8,Jarrett Allen,C,24,CLE,68,2220,,,,,100%,7.9,4.9,41,18,90,17,100,13,271,20,43
9,Jose Alvarado,PG,24,NOP,61,1310,100%,,,,,4.7,3.9,46,20,61,6,33,15,430,5,30
10,Kyle Anderson,PF,29,MIN,69,1957,,,8%,90%,2%,1.9,4.0,54,21,63,10,67,16,780,16,19
11,Giannis Antetokounmpo,PF,28,MIL,63,2024,,,,59%,41%,7.4,7.8,71,62,69,59,385,5,927,98,82
12,Thanasis Antetokounmpo,PF,30,MIL,37,206,,,7%,53%,40%,-25.9,-31.1,1,2,10,4,9,0,39,0,5
13,Cole Anthony,PG,22,ORL,60,1552,100%,,,,,-0.6,3.6,43,28,83,6,76,8,558,20,22
14,OG Anunoby,SF,25,TOR,67,2386,,11%,62%,27%,,2.1,2.4,54,29,87,29,77,15,307,19,65
15,Ryan Arcidiacono,PG,28,TOT,20,172,85%,15%,,,,-10.3,-8.0,4,3,10,0,0,7,53,0,2
15,Ryan Arcidiacono,PG,28,NYK,11,26,21%,79%,,,,7.4,4.3,0,1,1,0,0,0,5,0,0
15,Ryan Arcidiacono,PG,28,POR,9,146,96%,4%,,,,-13.5,-10.2,4,2,9,0,0,7,48,0,2
