Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,Unnamed: 16_level_0,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 23_level_0,% of FG Ast'd,% of FG Ast'd,Unnamed: 26_level_0,Dunks,Dunks,Unnamed: 29_level_0,Corner 3s,Corner 3s,Unnamed: 32_level_0,Heaves,Heaves
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,Unnamed: 9_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 16_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 23_level_1,2P,3P,Unnamed: 26_level_1,%FGA,#,Unnamed: 29_level_1,%3PA,3P%,Unnamed: 32_level_1,Att.,#
1,Tariq Abdul-Wahad,SG,28,DAL,14,204,.466,8.4,,.983,.448,.121,.224,.190,.017,,.474,.692,.429,.077,.455,.000,,.852,,,.138,8,,.000,,,1,0
2,Shareef Abdur-Rahim,PF,26,ATL,81,3087,.478,9.0,,.949,.317,.272,.139,.221,.051,,.485,.632,.429,.424,.383,.350,,.538,1.000,,.079,93,,.217,.538,,1,0
3,Courtney Alexander,PG,25,NOH,66,1360,.382,13.1,,.887,.250,.044,.234,.360,.113,,.388,.484,.273,.347,.363,.333,,.747,1.000,,.020,9,,.404,.478,,0,0
4,Malik Allen,PF,24,MIA,80,2318,.424,12.4,,.995,.119,.222,.261,.394,.005,,.426,.543,.457,.345,.428,.000,,.639,,,.027,16,,.250,.000,,0,0
5,Ray Allen*,SG,27,TOT,76,2880,.439,15.7,,.609,.165,.127,.185,.132,.391,,.478,.613,.370,.492,.394,.377,,.327,.796,,.020,25,,.242,.364,,4,0
5,Ray Allen*,SG,27,MIL,47,1683,.437,15.8,,.613,.161,.123,.202,.127,.387,,.463,.612,.303,.475,.412,.395,,.412,.805,,.017,14,,.228,.310,,3,0
5,Ray Allen*,SG,27,SEA,29,1197,.441,15.5,,.604,.171,.132,.161,.139,.396,,.500,.615,.459,.522,.372,.351,,.213,.782,,.023,11,,.261,.431,,1,0
6,Rafer Alston,PG,26,TOR,47,980,.415,15.7,,.612,.212,.110,.066,.224,.388,,.429,.507,.459,.364,.360,.392,,.148,.902,,.000,0,,.185,.417,,0,0
7,John Amaechi,C,32,UTA,50,474,.314,5.0,,1.000,.542,.254,.076,.127,.000,,.314,.391,.200,.111,.333,,,.649,,,.008,1,,,,,0,0
