No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
3,Shareef Abdur-Rahim,PF,6-9,225,"December 11, 1976",us US,6,California
25,Corey Benjamin,SG,6-6,200,"February 24, 1978",us US,3,Oregon State
4,Chris Crawford,PF,6-9,235,"May 13, 1975",us US,5,Marquette
15,Emanual Davis,SG,6-4,195,"August 27, 1968",us US,5,Delaware State University
12,Dan Dickau,PG,6-0,190,"September 16, 1978",us US,R,"Washington, Gonzaga"
5,Dion Glover,SG,6-5,228,"October 22, 1978",us US,3,Georgia Tech
8,Darvin Ham,SG,6-7,220,"July 23, 1973",us US,5,Texas Tech
40,Antonio Harvey,PF,6-11,225,"July 6, 1970",us US,7,"Southern Illinois, Georgia, Pfeiffer University"
44,Alan Henderson,C,6-9,235,"December 2, 1972",us US,7,Indiana
6,Jermaine Jackson,SG,6-4,204,"June 7, 1976",us US,2,Detroit Mercy
11,Matt Maloney,PG,6-3,192,"December 6, 1971",us US,5,"Vanderbilt, Penn"
0,Amal McCaskill,C,6-11,235,"October 28, 1973",us US,2,Marquette
2,Nazr Mohammed,C,6-10,221,"September 5, 1977",us US,4,Kentucky
38,Mikki Moore,C,6-11,225,"November 4, 1975",us US,4,Nebraska
14,Ira Newble,SF,6-7,220,"January 20, 1975",us US,2,Miami University
42,Theo Ratliff,C,6-10,225,"April 17, 1973",us US,7,Wyoming
13,Glenn Robinson,SF,6-7,225,"January 10, 1973",us US,8,Purdue
45,Paul Shirley,PF,6-10,230,"December 23, 1977",us US,R,Iowa State
31,Jason Terry,PG,6-2,185,"September 15, 1977",us US,3,Arizona
29,Mike Wilks,SG,5-10,185,"May 7, 1979",us US,R,Rice University
17,Brandon Williams,SF,6-6,215,"February 27, 1975",us US,2,Davidson
