No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
42,Tony Allen,SG,6-4,213,"January 11, 1982",us US,R,"Butler County Community College, Oklahoma State"
11,Marcus Banks,PG,6-2,200,"November 19, 1981",us US,1,UNLV
30,Mark Blount,C,7-0,230,"November 30, 1975",us US,4,Pitt
12,Ricky Davis,SG,6-6,195,"September 23, 1979",us US,6,Iowa
7,Tom Gugliotta,PF,6-10,240,"December 19, 1969",us US,12,NC State
"7, 8",Al Jefferson,PF,6-10,289,"January 4, 1985",us US,R,
45,Raef LaFrentz,PF,6-11,240,"May 29, 1976",us US,6,Kansas
0,Walter McCarty,PF,6-10,230,"February 1, 1974",us US,8,Kentucky
20,Gary Payton,PG,6-4,180,"July 23, 1968",us US,14,Oregon State
43,Kendrick Perkins,C,6-10,270,"November 10, 1984",us US,1,
34,Paul Pierce,SF,6-7,235,"October 13, 1977",us US,6,Kansas
9,Justin Reed,SF,6-8,240,"January 16, 1982",us US,R,Ole Miss
88,Antoine Walker,PF,6-9,224,"August 12, 1976",us US,8,Kentucky
44,Jiří Welsch,SG,6-7,208,"January 27, 1980",cz CZ,2,
13,Delonte West,SG,6-4,180,"July 26, 1983",us US,R,Saint Joseph's
