No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
9,Chucky Atkins,PG,5-11,160,"August 14, 1974",us US,5,South Florida
15,Tony Bobbitt,SG,6-4,190,"October 22, 1979",us US,R,Cincinnati
5,Tierre Brown,PG,6-2,189,"June 3, 1979",us US,3,McNeese State University
8,Kobe Bryant,SG,6-6,212,"August 23, 1978",us US,8,
1,Caron Butler,SF,6-7,228,"March 13, 1980",us US,2,UConn
43,Brian Cook,C,6-9,234,"December 4, 1980",us US,1,Illinois
12,Vlade Divac,C,7-1,243,"February 3, 1968",rs RS,15,
3,Devean George,SF,6-8,220,"August 29, 1977",us US,5,Augsburg College
55,Brian Grant,C,6-9,254,"March 5, 1972",us US,10,Xavier
20,Jumaine Jones,SF,6-8,218,"February 10, 1979",us US,5,Georgia
14,Stanislav Medvedenko,PF,6-10,250,"April 4, 1979",ua UA,4,
31,Chris Mihm,C,7-0,265,"July 16, 1979",us US,4,Texas
7,Lamar Odom,PF,6-10,220,"November 6, 1979",us US,5,Rhode Island
21,Kareem Rush,SG,6-6,215,"October 30, 1980",us US,2,Missouri
18,Sasha Vujačić,SG,6-7,195,"March 8, 1984",si SI,R,
4,Luke Walton,SF,6-8,235,"March 28, 1980",us US,1,Arizona
