No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
31,Michael Bradley,PF,6-10,245,"April 18, 1979",us US,3,"Kentucky, Villanova"
5,Kedrick Brown,SF,6-7,222,"March 18, 1981",us US,3,Okaloosa-Walton Community College
1,Samuel Dalembert,C,6-11,255,"May 10, 1981",ht HT,2,Seton Hall
23,Josh Davis,PF,6-8,235,"August 10, 1980",us US,1,Wyoming
33,Willie Green,SG,6-4,200,"July 28, 1981",us US,1,Detroit Mercy
"4, 9",Andre Iguodala,SG,6-6,215,"January 28, 1984",us US,R,Arizona
3,Allen Iverson,PG,6-0,165,"June 7, 1975",us US,8,Georgetown
25,Marc Jackson,C,6-10,270,"January 16, 1975",us US,4,"VCU, Temple"
26,Kyle Korver,SF,6-7,212,"March 17, 1981",us US,1,Creighton
8,Aaron McKie,SG,6-5,209,"October 2, 1972",us US,10,Temple
12,Kevin Ollie,PG,6-4,195,"December 27, 1972",us US,7,UConn
54,Rodney Rogers,PF,6-7,235,"June 20, 1971",us US,11,Wake Forest
7,John Salmons,SG,6-7,210,"December 12, 1979",us US,2,Miami (FL)
54,Brian Skinner,PF,6-9,255,"May 19, 1976",us US,6,Baylor
9,Kenny Thomas,PF,6-7,261,"July 25, 1977",us US,5,New Mexico
4,Chris Webber,PF,6-10,245,"March 1, 1973",us US,11,Michigan
14,Corliss Williamson,PF,6-7,245,"December 4, 1973",us US,9,Arkansas
