No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
24,Jonathan Bender,SF,6-11,202,"January 30, 1981",us US,6,
44,Austin Croshere,PF,6-9,235,"May 1, 1975",us US,8,Providence
10,Jeff Foster,C,6-11,236,"January 16, 1977",us US,6,Texas State University
4,Eddie Gill,PG,6-0,190,"August 16, 1978",us US,4,Weber State
33,Danny Granger,SF,6-9,222,"April 20, 1983",us US,R,"Bradley, New Mexico"
13,David Harrison,C,7-0,280,"August 15, 1982",us US,1,Colorado
1,Stephen Jackson,SG,6-8,218,"April 5, 1978",us US,5,Butler County Community College
3,Šarūnas Jasikevičius,PG,6-4,195,"March 5, 1976",lt LT,R,Maryland
8,Anthony Johnson,PG,6-3,190,"October 2, 1974",us US,8,College of Charleston
20,Fred Jones,SG,6-4,210,"March 11, 1979",us US,3,Oregon
7,Jermaine O'Neal,PF,6-11,226,"October 13, 1978",us US,9,
62,Scot Pollard,C,6-11,265,"February 12, 1975",us US,8,Kansas
16,Peja Stojaković,SF,6-10,229,"June 9, 1977",hr HR,7,
11,Jamaal Tinsley,PG,6-3,195,"February 28, 1978",us US,4,Iowa State
52,Samaki Walker,PF,6-9,240,"February 25, 1976",us US,9,Louisville
15,Metta World Peace,SF,6-7,260,"November 13, 1979",us US,6,St. John's
