No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
2,Marcus Banks,PG,6-2,200,"November 19, 1981",us US,3,UNLV
10,Leandro Barbosa,SG,6-3,194,"November 28, 1982",br BR,3,
19,Raja Bell,SG,6-5,204,"September 19, 1976",vi VI,6,"Boston University, Florida International University"
11,Pat Burke,C,6-11,250,"December 14, 1973",ie IE,2,Auburn
3,Boris Diaw,PF,6-8,250,"April 16, 1982",fr FR,3,
22,James Jones,SF,6-8,218,"October 4, 1980",us US,3,Miami (FL)
20,Jumaine Jones,SF,6-8,218,"February 10, 1979",us US,7,Georgia
31,Shawn Marion,SF,6-7,220,"May 7, 1978",us US,7,"Vincennes University, UNLV"
4,Sean Marks,PF,6-10,250,"August 23, 1975",nz NZ,6,California
13,Steve Nash,PG,6-3,195,"February 7, 1974",za ZA,10,Santa Clara
52,Eric Piatkowski,SG,6-7,215,"September 30, 1970",us US,12,Nebraska
8,Jalen Rose,SF,6-8,210,"January 30, 1973",us US,12,Michigan
1,Amar'e Stoudemire,C,6-10,245,"November 16, 1982",us US,4,
40,Kurt Thomas,C,6-9,230,"October 4, 1972",us US,11,TCU
