No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
17,Brent Barry,SF,6-6,185,"December 31, 1971",us US,12,Oregon State
15,Matt Bonner,PF,6-10,235,"April 5, 1980",us US,3,Florida
12,Bruce Bowen,SF,6-7,185,"June 14, 1971",us US,11,Cal State Fullerton
21,Tim Duncan,C,6-11,250,"April 25, 1976",vi VI,10,Wake Forest
16,Francisco Elson,C,7-0,235,"February 28, 1976",nl NL,4,California
4,Michael Finley,SG,6-7,215,"March 6, 1973",us US,12,Wisconsin
20,Manu Ginóbili,SG,6-6,205,"July 28, 1977",ar AR,5,
25,Robert Horry,PF,6-10,240,"August 25, 1970",us US,15,Alabama
1,DerMarr Johnson,SF,6-9,201,"May 5, 1980",us US,6,Cincinnati
42,Bobby Jones,SF,6-7,215,"January 9, 1984",us US,1,Washington
3,Keith Langford,SG,6-4,215,"September 15, 1983",us US,R,Kansas
28,Ian Mahinmi,C,6-11,262,"November 5, 1986",fr FR,R,
7,Fabricio Oberto,C,6-10,245,"March 21, 1975",ar AR,2,
9,Tony Parker,PG,6-2,185,"May 17, 1982",be BE,6,
23,Jeremy Richardson,SG,6-6,185,"March 1, 1984",us US,1,Delta State University
3,Damon Stoudamire,PG,5-10,171,"September 3, 1973",us US,12,Arizona
40,Kurt Thomas,PF,6-9,230,"October 4, 1972",us US,12,TCU
5,Ime Udoka,PF,6-6,215,"August 9, 1977",us US,3,"San Francisco, Portland State"
11,Jacque Vaughn,PG,6-1,190,"February 11, 1975",us US,10,Kansas
35,Darius Washington,SG,6-2,195,"December 6, 1985",us US,R,Memphis
33,Marcus Williams,SF,6-7,205,"November 18, 1986",us US,R,Arizona
