No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
7,Andrea Bargnani,PF,7-0,245,"October 26, 1985",it IT,1,
9,Maceo Baston,PF,6-9,215,"May 29, 1975",us US,2,Michigan
4,Chris Bosh,C,6-11,235,"March 24, 1984",us US,4,Georgia Tech
1,Primož Brezec,C,7-2,252,"October 2, 1979",si SI,6,
8,José Calderón,PG,6-3,200,"September 28, 1981",es ES,2,
20,Carlos Delfino,SG,6-6,230,"August 29, 1982",ar AR,3,
3,Juan Dixon,PG,6-3,164,"October 9, 1978",us US,5,Maryland
11,T.J. Ford,PG,6-0,165,"March 24, 1983",us US,3,Texas
15,Jorge Garbajosa,PF,6-9,245,"December 19, 1977",es ES,1,
14,Joey Graham,SF,6-7,225,"June 11, 1982",us US,2,"Central Florida, Oklahoma State"
43,Kris Humphries,PF,6-9,235,"February 6, 1985",us US,3,Minnesota
13,Linton Johnson,PF,6-8,205,"June 13, 1980",us US,4,Tulane
24,Jason Kapono,SF,6-8,213,"February 4, 1981",us US,4,UCLA
2,Darrick Martin,PG,5-11,170,"March 6, 1971",us US,12,UCLA
33,Jamario Moon,SF,6-8,205,"June 13, 1980",us US,R,Meridian Community College
12,Rasho Nesterović,C,7-0,248,"May 30, 1976",si SI,9,
18,Anthony Parker,SG,6-6,215,"June 19, 1975",us US,4,Bradley
