No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
0,Darrell Arthur,PF,6-9,235,"March 25, 1988",us US,R,Kansas
7,Greg Buckner,SF,6-4,210,"September 16, 1976",us US,9,Clemson
11,Mike Conley,PG,6-0,175,"October 11, 1987",us US,1,Ohio State
3,Javaris Crittenton,SG,6-5,200,"December 31, 1987",us US,1,Georgia Tech
30,Adonal Foyle,C,6-10,250,"March 9, 1975",vc VC,11,Colgate
33,Marc Gasol,C,6-11,255,"January 29, 1985",es ES,R,
22,Rudy Gay,SF,6-8,250,"August 17, 1986",us US,2,UConn
15,Hamed Haddadi,C,7-2,254,"May 19, 1985",ir IR,R,
55,Marko Jarić,SG,6-7,198,"October 12, 1978",rs RS,6,
1,Kyle Lowry,PG,6-0,196,"March 25, 1986",us US,2,Villanova
32,O.J. Mayo,SG,6-5,210,"November 5, 1987",us US,R,USC
3,Darius Miles,SF,6-9,210,"October 9, 1981",us US,6,
31,Darko Miličić,C,7-0,250,"June 20, 1985",rs RS,5,
13,Quinton Ross,SF,6-6,195,"April 30, 1981",us US,4,SMU
21,Hakim Warrick,PF,6-9,219,"July 8, 1982",us US,3,Syracuse
