No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
17,Chucky Atkins,PG,5-11,160,"August 14, 1974",us US,10,South Florida
38,Kwame Brown,C,6-11,270,"March 10, 1982",us US,8,
12,Will Bynum,PG,6-0,185,"January 4, 1983",us US,2,"Arizona, Georgia Tech"
5,Austin Daye,SF,6-11,220,"June 5, 1988",us US,R,Gonzaga
7,Ben Gordon,SG,6-3,200,"April 4, 1983",gb GB,5,UConn
32,Richard Hamilton,SG,6-6,185,"February 14, 1978",us US,10,UConn
33,Jonas Jerebko,PF,6-10,231,"March 2, 1987",se SE,R,
54,Jason Maxiell,C,6-7,260,"February 18, 1983",us US,4,Cincinnati
22,Tayshaun Prince,SF,6-9,212,"February 28, 1980",us US,7,Kentucky
3,Rodney Stuckey,PG,6-5,210,"April 21, 1986",us US,2,Eastern Washington
35,DaJuan Summers,SF,6-8,230,"January 24, 1988",us US,R,Georgetown
31,Charlie Villanueva,PF,6-11,232,"August 24, 1984",us US,4,UConn
6,Ben Wallace,C,6-9,240,"September 10, 1974",us US,13,Virginia Union University
9,Chris Wilcox,PF,6-10,221,"September 3, 1982",us US,7,Maryland
