No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
36,Omri Casspi,SF,6-9,225,"June 22, 1988",il IL,2,
9,Semih Erden,C,7-0,240,"July 28, 1986",tr TR,1,
8,Christian Eyenga,SF,6-5,210,"June 22, 1989",cd CD,1,
33,Alonzo Gee,SG,6-6,225,"May 29, 1987",us US,2,Alabama
1,Daniel Gibson,SG,6-2,190,"February 27, 1986",us US,5,Texas
44,Luke Harangody,PF,6-8,246,"January 2, 1988",us US,1,Notre Dame
6,Manny Harris,SG,6-5,185,"September 21, 1989",us US,1,Michigan
5,Ryan Hollins,C,7-0,240,"October 10, 1984",us US,5,UCLA
14,Lester Hudson,PG,6-3,190,"August 7, 1984",us US,2,University of Tennessee at Martin
2,Kyrie Irving,PG,6-2,195,"March 23, 1992",au AU,R,Duke
4,Antawn Jamison,PF,6-9,223,"June 12, 1976",us US,13,UNC
12,D.J. Kennedy,SF,6-6,215,"November 5, 1989",us US,R,St. John's
18,Anthony Parker,SF,6-6,215,"June 19, 1975",us US,8,Bradley
24,Samardo Samuels,C,6-9,260,"January 9, 1989",jm JM,1,Louisville
3,Ramon Sessions,PG,6-3,190,"April 11, 1986",us US,4,Nevada
15,Donald Sloan,PG,6-3,205,"January 15, 1988",us US,R,Texas A&M
21,Mychel Thompson,SG,6-6,211,"June 1, 1988",us US,R,Pepperdine
13,Tristan Thompson,PF,6-9,254,"March 13, 1991",ca CA,R,Texas
6,Ben Uzoh,PG,6-3,205,"March 19, 1988",us US,1,Tulsa
17,Anderson Varejão,C,6-11,273,"September 28, 1982",br BR,7,
32,Luke Walton,PF,6-8,235,"March 28, 1980",us US,8,Arizona
