No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
45,DeJuan Blair,PF,6-7,270,"April 22, 1989",us US,4,Pitt
8,José Calderón,PG,6-3,200,"September 28, 1981",es ES,8,
25,Vince Carter,SG,6-6,220,"January 26, 1977",us US,15,UNC
9,Jae Crowder,SF,6-6,235,"July 6, 1990",us US,1,Marquette
1,Samuel Dalembert,C,6-11,255,"May 10, 1981",ht HT,11,Seton Hall
21,Wayne Ellington,SG,6-4,207,"November 29, 1987",us US,4,UNC
11,Monta Ellis,SG,6-3,185,"October 26, 1985",us US,8,
20,Devin Harris,PG,6-3,185,"February 27, 1983",us US,9,Wisconsin
5,Bernard James,C,6-10,240,"February 7, 1985",us US,1,Florida State
3,Shane Larkin,PG,5-11,175,"October 2, 1992",us US,R,Miami (FL)
7,Ricky Ledo,SG,6-7,195,"September 10, 1992",us US,R,
0,Shawn Marion,SF,6-7,220,"May 7, 1978",us US,14,"Vincennes University, UNLV"
33,Gal Mekel,PG,6-3,191,"March 4, 1988",il IL,R,Wichita State
41,Dirk Nowitzki,PF,7-0,245,"June 19, 1978",de DE,15,
34,Brandan Wright,C,6-10,210,"October 5, 1987",us US,5,UNC
