No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
5,Quincy Acy,SF,6-7,240,"October 6, 1990",us US,1,Baylor
15,DeMarcus Cousins,C,6-10,270,"August 13, 1990",us US,3,Kentucky
9,Jared Cunningham,SG,6-4,195,"May 22, 1991",us US,1,Oregon State
30,Reggie Evans,PF,6-8,245,"May 18, 1980",us US,11,Iowa
7,Jimmer Fredette,SG,6-2,195,"February 25, 1989",us US,2,BYU
8,Rudy Gay,SF,6-8,250,"August 17, 1986",us US,7,UConn
33,Aaron Gray,C,7-0,270,"December 7, 1984",us US,6,Pitt
42,Chuck Hayes,C,6-6,240,"June 11, 1983",us US,8,Kentucky
0,Orlando Johnson,SG,6-5,220,"March 11, 1989",us US,1,"Loyola Marymount, UC Santa Barbara"
24,Carl Landry,PF,6-9,248,"September 19, 1983",us US,6,"Vincennes University, Purdue"
33,Luc Mbah a Moute,SF,6-8,230,"September 9, 1986",cm CM,5,UCLA
3,Ray McCallum,PG,6-3,190,"June 12, 1991",us US,R,Detroit Mercy
16,Ben McLemore,SG,6-3,195,"February 11, 1993",us US,R,Kansas
55,Hamady N'Diaye,C,7-0,235,"January 12, 1987",sn SN,2,Rutgers University
25,Travis Outlaw,SF,6-9,210,"September 18, 1984",us US,10,
9,Patrick Patterson,PF,6-8,235,"March 14, 1989",us US,3,Kentucky
5,John Salmons,SF,6-7,210,"December 12, 1979",us US,11,Miami (FL)
22,Isaiah Thomas,PG,5-9,185,"February 7, 1989",us US,2,Washington
34,Jason Thompson,PF,6-11,250,"July 21, 1986",us US,5,Rider University
23,Marcus Thornton,SG,6-4,205,"June 5, 1987",us US,4,LSU
10,Greivis Vásquez,PG,6-6,217,"January 16, 1987",ve VE,3,Maryland
35,Royce White,PF,6-8,270,"April 10, 1991",us US,R,Iowa State
13,Derrick Williams,SF,6-8,240,"May 25, 1991",us US,2,Arizona
