No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
41,Cameron Bairstow,PF,6-9,250,"December 7, 1990",au AU,R,New Mexico
0,Aaron Brooks,PG,6-0,161,"January 14, 1985",us US,6,Oregon
21,Jimmy Butler,SG,6-7,230,"September 14, 1989",us US,3,Marquette
34,Mike Dunleavy,SF,6-9,230,"September 15, 1980",us US,12,Duke
16,Pau Gasol,PF,7-0,250,"July 6, 1980",es ES,13,
22,Taj Gibson,PF,6-9,232,"June 24, 1985",us US,5,USC
12,Kirk Hinrich,SG,6-4,190,"January 2, 1981",us US,11,Kansas
3,Doug McDermott,SF,6-6,225,"January 3, 1992",us US,R,Creighton
44,Nikola Mirotić,PF,6-10,250,"February 11, 1991",me ME,R,
48,Nazr Mohammed,C,6-10,221,"September 5, 1977",us US,16,Kentucky
55,E'Twaun Moore,SG,6-3,191,"February 25, 1989",us US,3,Purdue
13,Joakim Noah,C,6-11,230,"February 25, 1985",us US,7,Florida
1,Derrick Rose,PG,6-3,200,"October 4, 1988",us US,5,Memphis
20,Tony Snell,SF,6-6,213,"November 10, 1991",us US,1,New Mexico
