No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
34,Cliff Alexander,PF,6-8,245,"November 16, 1995",us US,R,Kansas
8,Al-Farouq Aminu,SF,6-8,220,"September 21, 1990",us US,5,Wake Forest
5,Pat Connaughton,SG,6-5,209,"January 6, 1993",us US,R,Notre Dame
23,Allen Crabbe,SG,6-5,212,"April 9, 1992",us US,2,California
17,Ed Davis,PF,6-9,218,"June 5, 1989",us US,5,UNC
10,Tim Frazier,PG,6-0,170,"November 1, 1990",us US,1,Penn State
4,Maurice Harkless,SF,6-7,220,"May 11, 1993",us US,3,St. John's
9,Gerald Henderson,SG,6-5,215,"December 9, 1987",us US,6,Duke
35,Chris Kaman,C,7-0,265,"April 28, 1982",us US,12,Central Michigan University
11,Meyers Leonard,PF,7-0,260,"February 27, 1992",us US,3,Illinois
0,Damian Lillard,PG,6-2,195,"July 15, 1990",us US,3,Weber State
3,CJ McCollum,SG,6-3,190,"September 19, 1991",us US,2,Lehigh
44,Luis Montero,SG,6-7,185,"April 6, 1993",do DO,R,Westchester CC
24,Mason Plumlee,C,6-10,254,"March 5, 1990",us US,2,Duke
2,Brian Roberts,PG,6-1,173,"December 3, 1985",us US,3,Dayton
21,Noah Vonleh,PF,6-10,257,"August 24, 1995",us US,1,Indiana
