No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
0,Darrell Arthur,PF,6-9,235,"March 25, 1988",us US,7,Kansas
5,Will Barton,SG,6-5,181,"January 6, 1991",us US,4,Memphis
25,Malik Beasley,SG,6-4,187,"November 26, 1996",us US,R,Florida State
21,Wilson Chandler,SF,6-8,235,"May 10, 1987",us US,8,DePaul
35,Kenneth Faried,PF,6-8,220,"November 19, 1989",us US,5,Morehead State University
8,Danilo Gallinari,SF,6-10,233,"August 8, 1988",it IT,7,
7,Alonzo Gee,SF,6-6,225,"May 29, 1987",us US,7,Alabama
14,Gary Harris,SG,6-4,210,"September 14, 1994",us US,2,Michigan State
41,Juancho Hernangómez,PF,6-9,214,"September 28, 1995",es ES,R,
34,Roy Hibbert,C,7-2,270,"December 11, 1986",us US,8,Georgetown
15,Nikola Jokić,C,6-11,284,"February 19, 1995",rs RS,1,
3,Mike Miller,SF,6-8,218,"February 19, 1980",us US,16,Florida
0,Emmanuel Mudiay,PG,6-3,200,"March 5, 1996",cd CD,1,
27,Jamal Murray,SG,6-4,215,"February 23, 1997",ca CA,R,Kentucky
1,Jameer Nelson,PG,6-0,190,"February 9, 1982",us US,12,Saint Joseph's
23,Jusuf Nurkić,C,7-0,290,"August 23, 1994",ba BA,2,
9,Johnny O'Bryant,PF,6-9,257,"June 1, 1993",us US,2,LSU
24,Mason Plumlee,C,6-10,254,"March 5, 1990",us US,3,Duke
12,Jarnell Stokes,C,6-9,263,"January 7, 1994",us US,2,Tennessee
