No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
8,Álex Abrines,SG,6-6,200,"August 1, 1993",es ES,R,
12,Steven Adams,C,6-11,265,"July 20, 1993",nz NZ,3,Pitt
6,Semaj Christon,PG,6-3,190,"November 1, 1992",us US,R,Xavier
30,Norris Cole,PG,6-2,175,"October 13, 1988",us US,5,Cleveland State University
4,Nick Collison,PF,6-10,255,"October 26, 1980",us US,12,Kansas
11,Enes Freedom,C,6-10,250,"May 20, 1992",ch CH,5,Kentucky
22,Taj Gibson,PF,6-9,232,"June 24, 1985",us US,7,USC
9,Jerami Grant,PF,6-7,210,"March 12, 1994",us US,2,Syracuse
34,Josh Huestis,PF,6-7,230,"December 19, 1991",us US,1,Stanford
7,Ersan İlyasova,PF,6-9,235,"May 15, 1987",tr TR,8,
77,Joffrey Lauvergne,PF,6-11,220,"September 30, 1991",fr FR,2,
25,Doug McDermott,SF,6-6,225,"January 3, 1992",us US,2,Creighton
2,Anthony Morrow,SG,6-5,210,"September 27, 1985",us US,8,Georgia Tech
5,Victor Oladipo,SG,6-3,213,"May 4, 1992",us US,3,Indiana
22,Cameron Payne,PG,6-3,183,"August 8, 1994",us US,1,Murray State
21,Andre Roberson,SF,6-7,210,"December 4, 1991",us US,3,Colorado
3,Domantas Sabonis,PF,6-10,240,"May 3, 1996",us US,R,Gonzaga
15,Kyle Singler,SF,6-8,228,"May 4, 1988",us US,4,Duke
0,Russell Westbrook,PG,6-4,200,"November 12, 1988",us US,8,UCLA
