No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
21,Joel Bolomboy,PF,6-9,235,"January 28, 1994",ua UA,R,Weber State
10,Alec Burks,SG,6-6,214,"July 20, 1991",us US,5,Colorado
33,Boris Diaw,PF,6-8,250,"April 16, 1982",fr FR,13,
11,Dante Exum,PG,6-5,214,"July 13, 1995",au AU,1,
15,Derrick Favors,PF,6-9,265,"July 15, 1991",us US,6,Georgia Tech
27,Rudy Gobert,C,7-1,258,"June 26, 1992",fr FR,3,
20,Gordon Hayward,SF,6-7,225,"March 23, 1990",us US,6,Butler
3,George Hill,PG,6-4,188,"May 4, 1986",us US,8,IUPUI
5,Rodney Hood,SG,6-8,208,"October 20, 1992",us US,2,"Mississippi State, Duke"
2,Joe Ingles,SF,6-9,220,"October 2, 1987",au AU,2,
6,Joe Johnson,SF,6-7,240,"June 29, 1981",us US,15,Arkansas
41,Trey Lyles,PF,6-9,234,"November 5, 1995",ca CA,1,Kentucky
8,Shelvin Mack,PG,6-3,203,"April 22, 1990",us US,5,Butler
25,Raul Neto,PG,6-1,180,"May 19, 1992",br BR,1,
24,Jeff Withey,C,7-0,231,"March 7, 1990",us US,3,Kansas
