No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
31,Jarrett Allen,C,6-11,243,"April 21, 1998",us US,1,Texas
9,DeMarre Carroll,PF,6-6,215,"July 27, 1986",us US,9,"Vanderbilt, Missouri"
33,Allen Crabbe,SG,6-5,212,"April 9, 1992",us US,5,California
55,Mitch Creek,SF,6-5,216,"April 27, 1992",au AU,R,
17,Ed Davis,C,6-9,218,"June 5, 1989",us US,8,UNC
8,Spencer Dinwiddie,PG,6-5,215,"April 6, 1993",us US,4,Colorado
6,Jared Dudley,PF,6-6,237,"July 10, 1985",us US,11,Boston College
35,Kenneth Faried,C,6-8,220,"November 19, 1989",us US,7,Morehead State University
21,Treveon Graham,SG,6-5,219,"October 28, 1993",us US,2,VCU
12,Joe Harris,SG,6-6,220,"September 6, 1991",us US,4,Virginia
24,Rondae Hollis-Jefferson,SF,6-6,217,"January 3, 1995",us US,3,Arizona
0,Rodions Kurucs,SF,6-9,228,"February 5, 1998",lv LV,R,
22,Caris LeVert,SF,6-6,205,"August 25, 1994",us US,2,Michigan
0,Tahjere McCall,SG,6-5,195,"August 17, 1994",us US,R,Tennessee State
30,Džanan Musa,SG,6-9,217,"May 8, 1999",ba BA,R,
13,Shabazz Napier,PG,6-0,175,"July 14, 1991",us US,4,UConn
10,Theo Pinson,SG,6-5,212,"November 5, 1995",us US,R,UNC
1,D'Angelo Russell,PG,6-3,193,"February 23, 1996",us US,3,Ohio State
15,Alan Williams,PF,6-8,265,"January 28, 1993",us US,3,UC Santa Barbara
