No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
7,Dwayne Bacon,SG,6-6,221,"August 30, 1995",us US,1,Florida State
5,Nicolas Batum,SF,6-8,230,"December 14, 1988",fr FR,10,
8,Bismack Biyombo,C,6-8,255,"August 28, 1992",cd CD,7,
0,Miles Bridges,SF,6-7,225,"March 21, 1998",us US,R,Michigan State
31,Joe Chealey,PG,6-3,190,"November 1, 1995",us US,R,College of Charleston
4,Devonte' Graham,PG,6-1,195,"February 22, 1995",us US,R,Kansas
41,Willy Hernangómez,C,6-11,250,"May 27, 1994",es ES,2,
44,Frank Kaminsky,C,7-0,240,"April 4, 1993",us US,3,Wisconsin
14,Michael Kidd-Gilchrist,PF,6-6,232,"September 26, 1993",us US,6,Kentucky
3,Jeremy Lamb,SG,6-5,180,"May 30, 1992",us US,6,UConn
6,Shelvin Mack,PG,6-3,203,"April 22, 1990",us US,7,Butler
55,J.P. Macura,SG,6-5,203,"June 5, 1995",us US,R,Xavier
1,Malik Monk,SG,6-3,200,"February 4, 1998",us US,1,Kentucky
9,Tony Parker,PG,6-2,185,"May 17, 1982",be BE,17,
15,Kemba Walker,PG,6-0,184,"May 8, 1990",us US,7,UConn
2,Marvin Williams,PF,6-8,237,"June 19, 1986",us US,13,UNC
40,Cody Zeller,C,6-11,240,"October 5, 1992",us US,5,Indiana
