No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
10,Dragan Bender,PF,7-0,225,"November 17, 1997",ba BA,3,
12,Ky Bowman,PG,6-1,187,"June 16, 1997",us US,R,Boston College
"8, 20",Alec Burks,SF,6-6,214,"July 20, 1991",us US,8,Colorado
2,Willie Cauley-Stein,C,7-0,240,"August 18, 1993",us US,4,Kentucky
32,Marquese Chriss,PF,6-9,240,"July 2, 1997",us US,3,Washington
30,Stephen Curry,PG,6-2,185,"March 14, 1988",us US,10,Davidson
10,Jacob Evans,SG,6-4,210,"June 18, 1997",us US,1,Cincinnati
23,Draymond Green,PF,6-6,230,"March 4, 1990",us US,7,Michigan State
1,Damion Lee,SG,6-5,210,"October 21, 1992",us US,2,"Drexel, Louisville"
5,Kevon Looney,C,6-9,222,"February 6, 1996",us US,4,UCLA
15,Mychal Mulder,SF,6-3,184,"June 12, 1994",ca CA,R,"Vincennes University, Kentucky"
21,Zach Norvell,SG,6-5,206,"December 9, 1997",us US,R,Gonzaga
20,Jeremy Pargo,PG,6-2,219,"March 17, 1986",us US,2,Gonzaga
7,Eric Paschall,PF,6-6,255,"November 4, 1996",us US,R,"Fordham, Villanova"
3,Jordan Poole,SG,6-4,194,"June 19, 1999",us US,R,Michigan
25,Chasson Randle,PG,6-2,185,"February 5, 1993",us US,2,Stanford
22,Glenn Robinson III,SF,6-6,222,"January 8, 1994",us US,5,Michigan
0,D'Angelo Russell,PG,6-3,193,"February 23, 1996",us US,4,Ohio State
6,Alen Smailagić,C,6-10,215,"August 18, 2000",rs RS,R,
4,Omari Spellman,C,6-8,245,"July 21, 1997",us US,1,Villanova
95,Juan Toscano-Anderson,SG,6-6,209,"April 10, 1993",us US,R,Marquette
22,Andrew Wiggins,SF,6-7,197,"February 23, 1995",ca CA,5,Kansas
