No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
33,Ryan Anderson,C,6-9,240,"May 6, 1988",us US,11,California
5,Bruno Caboclo,C,6-9,218,"September 21, 1995",br BR,5,
15,Clint Capela,C,6-10,240,"May 18, 1994",ch CH,5,
9,DeMarre Carroll,C,6-6,215,"July 27, 1986",us US,10,"Vanderbilt, Missouri"
19,Tyson Chandler,C,7-0,235,"October 2, 1982",us US,18,
6,Gary Clark,PF,6-6,225,"November 16, 1994",us US,1,Cincinnati
3,Chris Clemons,SG,5-9,180,"July 23, 1997",us US,R,Campbell
33,Robert Covington,C,6-7,209,"December 14, 1990",us US,6,Tennessee State
21,Michael Frazier,SG,6-3,200,"March 8, 1994",us US,R,Florida
10,Eric Gordon,SF,6-3,215,"December 25, 1988",us US,11,Indiana
32,Jeff Green,C,6-8,235,"August 28, 1986",us US,11,Georgetown
13,James Harden,SG,6-5,220,"August 26, 1989",us US,10,Arizona State
55,Isaiah Hartenstein,C,7-0,250,"May 5, 1998",us US,1,
4,Danuel House Jr.,SF,6-6,220,"June 7, 1993",us US,3,Texas A&M
52,William Howard,PF,6-8,207,"October 25, 1993",fr FR,R,
12,Luc Mbah a Moute,PF,6-8,230,"September 9, 1986",cm CM,11,UCLA
16,Ben McLemore,SF,6-3,195,"February 11, 1993",us US,6,Kansas
25,Austin Rivers,SG,6-4,200,"August 1, 1992",us US,7,Duke
18,Thabo Sefolosha,PF,6-6,215,"May 2, 1984",ch CH,13,
17,P.J. Tucker,PF,6-5,245,"May 5, 1985",us US,8,Texas
0,Russell Westbrook,PG,6-4,200,"November 12, 1988",us US,11,UCLA
