No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
5,Malik Beasley,SG,6-4,187,"November 26, 1996",us US,4,Florida State
23,Jarrett Culver,SG,6-6,195,"February 20, 1999",us US,1,Texas Tech
17,Ed Davis,C,6-9,218,"June 5, 1989",us US,10,UNC
1,Anthony Edwards,SG,6-4,225,"August 5, 2001",us US,R,Georgia
22,Ashton Hagans,PG,6-3,190,"July 8, 1999",us US,R,Kentucky
41,Juancho Hernangómez,PF,6-9,214,"September 28, 1995",es ES,4,
10,Jake Layman,SF,6-8,209,"March 7, 1994",us US,4,Maryland
3,Jaden McDaniels,PF,6-9,185,"September 29, 2000",us US,R,Washington
6,Jordan McLaughlin,PG,6-0,185,"April 9, 1996",us US,1,USC
4,Jaylen Nowell,SG,6-4,201,"July 9, 1999",us US,1,Washington
20,Josh Okogie,SG,6-4,213,"September 1, 1998",ng NG,2,Georgia Tech
11,Naz Reid,C,6-9,264,"August 26, 1999",us US,1,LSU
9,Ricky Rubio,PG,6-2,190,"October 21, 1990",es ES,9,
0,D'Angelo Russell,PG,6-3,193,"February 23, 1996",us US,5,Ohio State
32,Karl-Anthony Towns,C,7-0,248,"November 15, 1995",us US,5,Kentucky
8,Jarred Vanderbilt,PF,6-8,214,"April 3, 1999",us US,2,Kentucky
