No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
2,Al-Farouq Aminu,PF,6-8,220,"September 21, 1990",us US,10,Wake Forest
50,Cole Anthony,PG,6-2,185,"May 15, 2000",us US,R,UNC
8,Dwayne Bacon,SG,6-6,221,"August 30, 1995",us US,3,Florida State
5,Mo Bamba,C,7-0,231,"May 12, 1998",us US,2,Texas
24,Khem Birch,C,6-9,233,"September 28, 1992",ca CA,3,"Pitt, UNLV"
23,Jordan Bone,PG,6-2,180,"November 5, 1997",us US,1,Tennessee
17,Ignas Brazdeikis,SF,6-6,221,"January 8, 1999",lt LT,1,Michigan
30,Devin Cannady,PG,6-2,183,"May 21, 1996",us US,R,Princeton
34,Wendell Carter Jr.,C,6-10,270,"April 16, 1999",us US,2,Duke
7,Michael Carter-Williams,SG,6-5,190,"October 10, 1991",us US,7,Syracuse
12,Gary Clark,SF,6-6,225,"November 16, 1994",us US,2,Cincinnati
11,James Ennis III,SF,6-6,215,"July 1, 1990",us US,6,Cal State Long Beach
10,Evan Fournier,SF,6-6,205,"October 29, 1992",fr FR,8,
0,Robert Franks,PF,6-7,225,"December 18, 1996",us US,R,Washington State
20,Markelle Fultz,PG,6-4,209,"May 29, 1998",us US,3,Washington
0,Aaron Gordon,PF,6-8,235,"September 16, 1995",us US,6,Arizona
45,Donta Hall,PF,6-9,232,"August 7, 1997",us US,1,Alabama
13,R.J. Hampton,SG,6-4,175,"February 7, 2001",us US,R,
14,Gary Harris,SG,6-4,210,"September 14, 1994",us US,6,Michigan State
4,Karim Mané,PG,6-3,190,"May 16, 2000",sn SN,R,Vanier College
15,Frank Mason III,PG,5-11,190,"April 3, 1994",us US,3,Kansas
3,Chuma Okeke,PF,6-6,229,"August 18, 1998",us US,R,Auburn
22,Otto Porter Jr.,PF,6-8,198,"June 3, 1993",us US,7,Georgetown
25,Chasson Randle,PG,6-2,185,"February 5, 1993",us US,3,Stanford
31,Terrence Ross,SG,6-6,206,"February 5, 1991",us US,8,Washington
12,Sindarius Thornwell,SG,6-4,215,"November 15, 1994",us US,3,South Carolina
9,Nikola Vučević,C,6-10,260,"October 24, 1990",ch CH,9,USC
21,Moritz Wagner,C,6-11,245,"April 26, 1997",de DE,2,Michigan
