No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
12,Grayson Allen,SG,6-4,198,"October 8, 1995",us US,4,Duke
34,Giannis Antetokounmpo,PF,6-11,242,"December 6, 1994",gr GR,9,
43,Thanasis Antetokounmpo,PF,6-7,219,"July 18, 1992",gr GR,4,
0,MarJon Beauchamp,SF,6-6,199,"October 12, 2000",us US,R,Yakima Valley Community College
5,Jevon Carter,PG,6-1,200,"September 14, 1995",us US,4,West Virginia
24,Pat Connaughton,SF,6-5,209,"January 6, 1993",us US,7,Notre Dame
99,Jae Crowder,PF,6-6,235,"July 6, 1990",us US,10,Marquette
31,Goran Dragić,PG,6-4,190,"May 6, 1986",si SI,14,
20,A.J. Green,SG,6-4,200,"September 27, 1999",us US,R,University of Northern Iowa
3,George Hill,PG,6-4,188,"May 4, 1986",us US,14,IUPUI
21,Jrue Holiday,PG,6-4,205,"June 12, 1990",us US,13,UCLA
25,Serge Ibaka,C,6-11,235,"September 18, 1989",cg CG,13,
7,Joe Ingles,SF,6-9,220,"October 2, 1987",au AU,8,
3,Meyers Leonard,C,7-0,260,"February 27, 1992",us US,9,Illinois
11,Brook Lopez,C,7-1,282,"April 1, 1988",us US,14,Stanford
54,Sandro Mamukelashvili,C,6-11,240,"May 23, 1999",us US,1,Seton Hall
23,Wesley Matthews,SF,6-5,220,"October 14, 1986",us US,13,Marquette
22,Khris Middleton,SF,6-7,222,"August 12, 1991",us US,10,Texas A&M
13,Jordan Nwora,SF,6-8,225,"September 9, 1998",us US,2,Louisville
9,Bobby Portis,PF,6-10,250,"February 10, 1995",us US,7,Arkansas
28,Lindell Wigginton,PG,6-2,189,"March 28, 1998",ca CA,1,Iowa State
