No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
8,Deni Avdija,SF,6-9,210,"January 3, 2001",il IL,3,
35,Marvin Bagley III,C,6-10,235,"March 14, 1999",us US,5,Duke
7,Patrick Baldwin Jr.,SF,6-9,220,"November 18, 2002",us US,1,UW-Milwaukee
14,Jules Bernard,SG,6-7,210,"January 21, 2000",us US,R,UCLA
4,Jared Butler,SG,6-3,195,"August 25, 2000",us US,2,Baylor
9,Justin Champagnie,SF,6-6,200,"June 29, 2001",us US,2,Pitt
0,Bilal Coulibaly,SF,6-6,195,"July 26, 2004",fr FR,R,
1,Johnny Davis,SG,6-5,196,"February 27, 2002",us US,1,Wisconsin
9,Hamidou Diallo,SG,6-5,202,"July 31, 1998",us US,5,Kentucky
21,Daniel Gafford,C,6-10,234,"October 1, 1998",us US,4,Arkansas
88,Danilo Gallinari,PF,6-10,233,"August 8, 1988",it IT,13,
16,Anthony Gill,PF,6-7,230,"October 17, 1992",us US,3,"South Carolina, Virginia"
22,Richaun Holmes,PF,6-10,235,"October 15, 1993",us US,8,Bowling Green
50,Trey Jemison,C,6-11,260,"November 28, 1999",us US,R,"Clemson, UAB"
5,Tyus Jones,PG,6-1,196,"May 10, 1996",us US,8,Duke
24,Corey Kispert,SF,6-7,220,"March 3, 1999",us US,2,Gonzaga
33,Kyle Kuzma,PF,6-9,221,"July 24, 1995",us US,6,Utah
35,Mike Muscala,C,6-10,240,"July 1, 1991",us US,10,Bucknell
97,Eugene Omoruyi,SF,6-7,244,"February 14, 1997",ng NG,2,"Rutgers University, Oregon"
13,Jordan Poole,SG,6-4,194,"June 19, 1999",us US,4,Michigan
9,Ryan Rollins,PG,6-4,180,"July 3, 2002",us US,1,Toledo
20,Landry Shamet,SG,6-4,190,"March 13, 1997",us US,5,Wichita State
0,Tristan Vukcevic,C,7-0,223,"March 11, 2003",it IT,R,
55,Delon Wright,PG,6-5,185,"April 26, 1992",us US,8,Utah
